epoch,train_loss,val_loss,val_acc,val_auc,val_f1,lr
1,0.688035,0.636579,67.75,0.9328,0.5473,0.001
2,0.652642,0.586678,77.5833,0.9361,0.7326,0.001
3,0.609596,0.541977,84.75,0.9366,0.8353,0.001
4,0.559995,0.491164,86.25,0.9371,0.8565,0.001
5,0.501835,0.446741,86.8333,0.9373,0.8659,0.001
6,0.46728,0.411949,87.3333,0.9375,0.8724,0.001
7,0.425012,0.378645,87.4167,0.9376,0.8737,0.001
8,0.396551,0.360398,86.9167,0.9377,0.8696,0.001
9,0.368803,0.348313,86.3333,0.9378,0.8647,0.001
10,0.357608,0.333832,86.4167,0.9379,0.8655,0.001
11,0.337768,0.325369,86.25,0.9379,0.864,0.001
12,0.341526,0.322831,85.9167,0.9379,0.861,0.001
13,0.336901,0.320709,85.9167,0.9379,0.861,0.001
14,0.325186,0.313719,86.5833,0.9378,0.8671,0.001
15,0.333786,0.32337,86.0,0.9379,0.8622,0.001
16,0.322562,0.316602,85.8333,0.938,0.8602,0.001
17,0.322833,0.314161,85.9167,0.9379,0.861,0.001
18,0.337682,0.315855,85.8333,0.9379,0.8602,0.001
19,0.323132,0.312203,86.0833,0.9379,0.8625,0.001
20,0.323625,0.316814,85.9167,0.938,0.861,0.001
21,0.334989,0.318102,86.25,0.938,0.8645,0.001
22,0.32059,0.313375,85.8333,0.938,0.8602,0.001
23,0.328586,0.304868,87.0,0.9379,0.8707,0.001
24,0.323775,0.317499,86.0,0.938,0.8619,0.001
25,0.316118,0.313898,85.8333,0.9379,0.8602,0.001
26,0.31797,0.314886,85.9167,0.9379,0.861,0.001
27,0.323906,0.31029,86.4167,0.9379,0.8656,0.001
28,0.318502,0.318204,86.3333,0.9379,0.8653,0.001
29,0.319287,0.320399,86.1667,0.9379,0.8638,0.001
30,0.315805,0.313154,85.9167,0.9379,0.861,0.001
31,0.312133,0.312826,85.9167,0.9378,0.861,0.001
32,0.30776,0.320352,86.0833,0.9378,0.863,0.001
33,0.323553,0.317751,86.1667,0.9378,0.8636,0.001
34,0.316037,0.314975,86.0,0.9378,0.8618,0.001
35,0.307838,0.315325,86.0,0.9378,0.8618,0.001
36,0.307576,0.316677,86.0833,0.9378,0.8627,0.001
37,0.317282,0.312064,86.1667,0.9378,0.8633,0.001
38,0.31902,0.316798,86.0,0.9378,0.8619,0.001
39,0.318947,0.314441,86.0,0.9378,0.8618,0.001
40,0.318843,0.31845,86.1667,0.9378,0.8636,0.001
41,0.314572,0.31725,86.0833,0.9378,0.8627,0.001
42,0.325052,0.308777,86.5,0.9378,0.8662,0.001
43,0.31578,0.31371,86.0,0.9378,0.8618,0.001
44,0.321902,0.312585,86.25,0.9378,0.8641,0.001
45,0.317994,0.312694,86.1667,0.9378,0.8633,0.001
46,0.317968,0.315726,86.0,0.9377,0.8618,0.001
47,0.306117,0.318163,86.1667,0.9377,0.8636,0.001
48,0.321105,0.310908,86.5833,0.9377,0.8672,0.001
