epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.041507,60.652,0.035757,72.5833,0.7414,0.7258,0.7311,9.938441702975689e-05
2,0.035453,71.4332,0.029787,78.0833,0.8015,0.7808,0.7861,9.755282581475769e-05
3,0.032827,75.4358,0.027249,78.9167,0.8136,0.7892,0.7947,9.45503262094184e-05
4,0.029438,78.9219,0.02401,83.9167,0.8416,0.8392,0.8401,9.045084971874738e-05
5,0.027177,80.8263,0.02667,81.25,0.8393,0.8125,0.8176,8.535533905932738e-05
6,0.025724,82.2466,0.023055,82.8333,0.8333,0.8283,0.8301,7.938926261462366e-05
7,0.023719,83.796,0.023749,84.0,0.8569,0.84,0.8436,7.269952498697734e-05
8,0.023278,84.4093,0.021384,85.5,0.8528,0.855,0.8519,6.545084971874738e-05
9,0.021523,85.3777,0.022613,85.8333,0.8596,0.8583,0.8589,5.782172325201156e-05
10,0.020159,86.3138,0.023303,86.0833,0.866,0.8608,0.8625,5.000000000000001e-05
11,0.018264,87.9277,0.02331,85.1667,0.8633,0.8517,0.8545,4.217827674798848e-05
12,0.018372,88.3473,0.021537,87.25,0.8748,0.8725,0.8733,3.454915028125264e-05
13,0.017434,88.4764,0.021613,87.6667,0.8796,0.8767,0.8777,2.730047501302267e-05
14,0.016499,89.0575,0.021836,87.6667,0.8807,0.8767,0.8779,2.0610737385376356e-05
15,0.014997,90.3809,0.022875,87.6667,0.8783,0.8767,0.8773,1.464466094067263e-05
